R1_plas,0.41
R1_ery_0,0.94
r1_prime_dHB,0.17
R2_plas,1.95
R2_dia_plus_R2_oxy,4.9
R2_deoxy_minus_R2_oxy,-2
w_dia_plus_w_oxy,-0.044
w_deo_minus_w_oxy,-0.69
tau,2.9
